customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,CustomerFeedback,MonthlyIncome
3365-SAIGS,Female,0,No,No,17,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,83.55,1329.15,No,"I have been a customer with this company for 17 months now and I am extremely satisfied with their service. The fiber optic internet is fast and reliable, and I have had no issues with connectivity. The monthly charges are reasonable at $83.55 and I appreciate the convenience of paying with electronic check. Overall, I have had a positive experience and would recommend this company to others.",9683
8149-RSOUN,Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.85,93.85,Yes,"I recently signed up for fiber optic internet with this provider on a month-to-month contract. Unfortunately, after just one month of service, I decided to churn and switch to a different provider. The monthly charges of $93.85 were higher than I expected for the level of service I received. The payment method of electronic check was convenient, but ultimately I was not satisfied with the overall value for the cost. I would recommend potential customers to carefully consider their options before committing to this service.",5225
7996-BPXHY,Female,0,Yes,Yes,13,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),25.0,332.5,No,"I have been a customer with this company for 13 months now and I have not experienced any issues with my service. I am on a two-year contract with monthly charges of $25.0 and I have set up automatic bank transfers for payments. I do not have internet service with this company, but overall I am satisfied with the service I am receiving. I have not experienced any reason to churn and I plan on continuing my contract with this company.",4497
5906-DVAPM,Female,0,Yes,Yes,55,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,One year,Yes,Credit card (automatic),75.0,4213.9,No,"I have been a loyal customer of this DSL internet service provider for over four and a half years now. I have been on a one-year contract with monthly charges of $75.0, which I find to be reasonable for the quality of service I receive. The automatic credit card payment method makes it convenient for me to pay my bill on time without any hassle.

I have had no issues with the internet service provided, and I am satisfied with the speed and reliability of the connection. I have not experienced any disruptions or outages, and the customer service has been responsive whenever I have had any questions or concerns.

Overall, I am happy with my experience as a customer and would recommend this provider to others looking for a reliable DSL internet service.",1067
4654-ULTTN,Male,0,Yes,No,70,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),74.8,null,No,"""I have been a customer with this DSL internet service provider for 70 months now and I have been extremely satisfied with the service. The monthly charges of $74.8 are reasonable and my credit card is automatically charged, making the payment process convenient. The internet service has been reliable and I have not experienced any issues that would cause me to consider switching providers. Overall, I am happy with the service and would recommend it to others.""",8582
9121-PHQSR,Male,1,Yes,No,16,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),85.05,1391.15,No,"I have been a customer with this company for 16 months now and have been very satisfied with the service. The fiber optic internet is fast and reliable, and I have had no issues with downtime or slow speeds. The automatic credit card payments make it convenient for me to pay my bill each month. Overall, I have no complaints and would recommend this service to others.",3385
7129-CAKJW,Female,0,No,No,17,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),80.05,1345.65,No,"I have been a customer with this company for 17 months now and I am very satisfied with the service. The fiber optic internet is fast and reliable, and I have had no issues with connectivity. The automatic bank transfer for payment makes it convenient for me to pay my monthly bill on time. The monthly charges of $80.05 are reasonable for the quality of service I am receiving. Overall, I have no complaints and would recommend this company to others.",8622
0489-WMEMG,Female,0,No,Yes,23,Yes,No,DSL,No,No,No,Yes,No,No,One year,Yes,Electronic check,49.45,1119.35,No,"I have been a customer with this company for almost two years now and I have been very satisfied with the service. The DSL internet has been reliable and the monthly charges are reasonable at $49.45. I appreciate the convenience of paying with electronic check. Overall, I have had a positive experience and have no complaints. I would recommend this company to others looking for internet service.",2674
6332-FBZRI,Male,0,Yes,Yes,67,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,One year,Yes,Credit card (automatic),69.35,4653.25,No,I have been a loyal customer of this DSL internet service provider for over 5 years now and I have had a pleasant experience overall. The monthly charges are reasonable at $69.35 and I appreciate the convenience of automatic credit card payments. The internet service has been reliable and consistent throughout my tenure with no issues of churn. I am satisfied with the one-year contract and have no complaints to report. Thank you for providing a dependable service.,8728
4102-HLENU,Female,0,Yes,No,67,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Mailed check,65.65,4322.85,No,"I have been a customer with this company for over 5 years now and I have been satisfied with the DSL internet service they provide. The monthly charges are reasonable at $65.65 and I appreciate being able to pay with a mailed check. I have not experienced any issues with my service and have no plans to churn in the near future. Overall, I am a happy customer and would recommend this company to others.",7911
1614-JBEBI,Female,0,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.7,137.6,No,"I have been a customer with this company for 8 months now on a month-to-month contract with no issues of churn. While I do not use their internet service, I have found their monthly charges of $20.7 to be reasonable. I prefer to pay by mailed check and have not encountered any problems with the payment process. Overall, I am satisfied with the service provided by this company.",985
5453-YBTWV,Male,0,Yes,Yes,70,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),101.1,6994.8,No,"I have been a customer with this company for 70 months now and I am very satisfied with the service. The fiber optic internet service has been reliable and fast, and I have not experienced any issues with my connection. The monthly charges of $101.1 are reasonable for the quality of service I receive. The automatic credit card payment method is convenient and hassle-free. Overall, I would highly recommend this company to others looking for a dependable internet service provider.",8698
2691-NZETQ,Male,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.35,758.6,Yes,"I recently canceled my fiber optic internet service after being a customer for 9 months on a month-to-month contract. I was generally satisfied with the service, but I found a better deal with another provider. The monthly charges of $85.35 were reasonable for the speed and reliability I received. I appreciated the convenience of paying with electronic check. Overall, I had a positive experience with the service, but ultimately decided to switch providers for a better deal.",7766
7198-GLXTC,Male,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,79.0,143.65,Yes,"I recently switched to this fiber optic internet service provider two months ago on a month-to-month contract. I was initially drawn to the competitive monthly charges of $79.0 and the convenience of paying with an electronic check. However, I have experienced frequent outages and slow speeds, which has made it difficult to rely on this service for my work and personal needs. Unfortunately, I have decided to churn and look for a more reliable internet provider.",3508
2165-VOEGB,Female,0,No,Yes,46,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),105.2,4822.85,Yes,"I have been a customer with this company for nearly four years now, but unfortunately, I have decided to cancel my services. The monthly charges of $105.2 for fiber optic internet were reasonable, and the convenience of automatic bank transfers for payment was a plus. However, after 46 months of being a customer, I feel like I am not getting the quality of service that I initially signed up for. I have experienced frequent outages and slow internet speeds, which have become frustrating. Despite reaching out to customer service for assistance, the issues have not been resolved to my satisfaction. As a result, I have decided to switch to a different provider for a more reliable internet connection.",7675
6080-TCMYC,Male,0,Yes,Yes,40,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,81.2,null,No,"I have been a customer with this internet service provider for 40 months now and I am extremely satisfied with the service. The fiber optic internet is fast and reliable, making it easy for me to work from home and stream videos without any interruptions. The monthly charges of $81.2 are reasonable for the quality of service I receive. I appreciate the convenience of paying through electronic check and have never had any issues with billing. Overall, I would highly recommend this internet service provider to others.",6951
1530-ZTDOZ,Female,0,Yes,No,49,No,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),40.65,2070.75,No,"I have been a customer with this internet service provider for almost four years now and have been very satisfied with their service. The monthly charges are reasonable at $40.65 and the automatic bank transfer payment method makes it convenient for me to pay my bill on time. The DSL internet service has been reliable and I have not experienced any issues with connectivity. Overall, I have no complaints and would recommend this provider to others.",9404
6754-WKSHP,Male,0,No,Yes,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),25.35,723.3,No,"I have been a customer with this company for 30 months now and I have had a positive experience overall. I appreciate the convenience of the automatic bank transfer payment method and the affordable monthly charges of $25.35. However, I do wish that internet service was offered as part of my contract. Overall, I am satisfied with the service provided and have not experienced any issues that would lead me to consider churning.",2170
3932-IJWDZ,Male,0,No,No,45,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.65,4747.85,No,"I have been a customer with this company for 45 months now and I have been very satisfied with the service. The fiber optic internet is fast and reliable, and I have not experienced any issues with connectivity. The monthly charges of $103.65 are reasonable for the quality of service I am receiving. 

I appreciate the convenience of the automatic bank transfer payment method, as it ensures that my bill is always paid on time without any hassle. Overall, I have no complaints and have no plans to churn. I would definitely recommend this company to others looking for a reliable internet service provider.",6119
7284-BUYEC,Female,0,No,No,5,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),50.95,null,No,"I have been a customer with this company for 5 months now and I am pleased to say that I have not experienced any issues that would make me want to cancel my service. The monthly charges are reasonable at $50.95 and the automatic credit card payment method makes it convenient for me to pay my bills on time. The DSL internet service has been reliable and I have not experienced any significant downtime. Overall, I am satisfied with the service and would recommend it to others.",7949
1073-XXCZD,Male,0,Yes,No,55,yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),25.7,1443.65,No,"I have been a customer with this company for 55 months now and I am very satisfied with the service. The automatic bank transfer payment method makes it convenient for me to pay my monthly charges of $25.7. Even though I do not have internet service with this company, I have had no issues with my contract type of two years. Overall, I am happy with my experience and have had no reason to consider churning.",9933
9668-PUGNU,Male,0,Yes,No,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,24.5,1816.2,No,"I have been a customer with this company for over 6 years now and I have been very satisfied with their service. Despite not having internet service with them, I have found their monthly charges to be very affordable at $24.50. I appreciate the convenience of being able to pay through electronic check and have had no issues with my payments. Overall, I have had a positive experience with this company and have no plans to churn in the near future.",3575
4329-YPDDQ,Male,0,No,No,20,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),108.2,2203.7,No,"I have been a customer with this company for 20 months now and I am extremely satisfied with their service. The fiber optic internet service is fast and reliable, and I have never experienced any issues with connectivity. The automatic bank transfer for payment makes it convenient for me to pay my monthly bill without having to worry about missing a payment. The monthly charges of $108.2 are reasonable for the quality of service that I receive. Overall, I have had a positive experience with this company and would highly recommend them to others.",9115
5928-QLDHB,Male,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.25,684.85,No,"I have been a customer with this internet service provider for 9 months now, and I am very satisfied with the service. The fiber optic internet is fast and reliable, and I have not experienced any issues with connectivity. The monthly charges of $76.25 are reasonable for the quality of service I am receiving. I appreciate the convenience of the electronic check payment method. Overall, I have no complaints and would recommend this provider to others.",5202
7668-XCFYV,Female,1,Yes,No,17,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,92.55,1614.7,No,"I have been a customer with this company for 17 months now and I am very satisfied with the service. The fiber optic internet service is fast and reliable, and I have had no issues with the connection. The monthly charges of $92.55 are reasonable for the quality of service provided. I appreciate the convenience of paying through electronic check. Overall, I have had a positive experience and would recommend this company to others.",5116
1215-EXRMO,Male,0,Yes,No,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.55,1067.65,No,"I have been a customer with this company for 50 months now and have been overall satisfied with the service. The monthly charges are reasonable at $20.55 and I appreciate the option to pay via mailed check. However, I do wish they offered internet service as part of my package. Overall, I have had no issues with churn and am happy with my two-year contract.",1028
2690-DVRVK,Male,0,Yes,Yes,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,20.55,99.45,No,"I have been a customer with this company for 5 months now and I am happy to say that I have no plans to churn. The monthly charges of $20.55 for my one year contract are reasonable and the payment method of electronic check is convenient for me. However, I do wish that internet service was included in my plan as it would make my experience even better. Overall, I am satisfied with the service I have received so far.",1288
2007-QVGAW,Female,0,Yes,Yes,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),19.35,1292.65,No,"I have been a customer with this company for over 5 years now and I have never experienced any issues with my service or billing. The automatic bank transfer payment method makes it convenient for me to pay my monthly charges on time. Although I do not have internet service with this company, I am satisfied with the overall service and value for the price I am paying. I would recommend this company to others looking for reliable service at an affordable price.",6774
4816-JBHOV,Male,1,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,44.7,93.7,Yes,"I recently signed up for DSL internet service with this provider about 2 months ago on a month-to-month contract. However, I have decided to churn and switch to a different provider. While the monthly charges were reasonable at $44.7, I experienced frequent outages and slow speeds with the internet service. Additionally, I found the payment method of electronic check to be inconvenient and would have preferred more options. Overall, I was not satisfied with the service and will be looking for a better alternative.",8009
5365-LLFYV,Female,0,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,45.85,105.6,No,"I have been a customer of this DSL internet service for the past 2 months and so far I am satisfied with the service. The monthly charges of $45.85 are reasonable for the speed and reliability that I am getting. I appreciate the flexibility of the month-to-month contract as it gives me the option to cancel anytime if needed. The payment method of mailing a check is convenient for me and I have not experienced any issues with billing or payments. Overall, I would recommend this internet service to others looking for a reliable and affordable option.",7478
8107-RZLNV,Male,0,Yes,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),106.3,null,No,"I have been a customer of this fiber optic internet service provider for 6 years now and I have been extremely satisfied with the service. The automatic bank transfer payment method makes it convenient for me to pay my monthly bill on time. The $106.3 monthly charges are reasonable for the reliable and fast internet connection that I receive. Overall, I have no complaints and I would highly recommend this service to others.",9550
6585-WCEWR,Male,0,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,20.35,1354.4,No,"I have been a customer with this company for six years now and I have been very satisfied with the service. The monthly charges are very affordable at $20.35 and I appreciate the convenience of being able to pay with electronic check. Even though I do not have internet service with this company, I have found the overall experience to be positive and I have no plans to switch providers.",7290
9391-YZEJW,Female,0,No,No,62,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),94.0,5757.2,No,I have been a loyal customer with this company for over five years now and have had a great experience with their fiber optic internet service. The automatic bank transfer payment method makes it convenient for me to pay my monthly charges without any hassle. The $94 monthly charges for the one-year contract are reasonable for the quality of service I receive. I have no complaints and have no intention of churning anytime soon. Thank you for providing reliable internet service for the past 62 months.,3356
0880-FVFWF,Male,0,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,86.4,4922.4,No,"I have been a customer with this company for 56 months now and I am extremely satisfied with their fiber optic internet service. The monthly charges are reasonable at $86.4 and I appreciate the convenience of paying with electronic check. I have had no issues with the service and have no plans to churn anytime soon. Overall, I highly recommend this company for their reliable internet service.",8967
8450-JOVAH,Male,0,Yes,Yes,2,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,56.7,113.55,Yes,"I recently switched to this DSL internet service provider two months ago on a month-to-month contract. Unfortunately, I have decided to churn and find a new provider. The monthly charges of $56.70 were reasonable, but I found the internet service to be unreliable and slow at times. Additionally, having to mail in a check for payment was inconvenient and outdated. Overall, I was not satisfied with the service and will be looking for a better option.",2017
9970-QBCDA,Female,0,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),19.7,129.55,No,"I have been a customer with this company for 6 months now on a month-to-month contract with automatic credit card payments. I do not have internet service with them, but I am satisfied with the reliability of my service and the affordable monthly charges of $19.7. I have not experienced any issues with billing or service interruptions, so I am happy to continue with this company for the foreseeable future. Overall, I would recommend this company to others looking for a budget-friendly and dependable service provider.",3278
7247-XOZPB,Male,0,Yes,No,53,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),77.4,4155.95,No,"I have been a customer with this company for 53 months and have been very satisfied with the service. The DSL internet service has been reliable and the monthly charges of $77.4 are reasonable for the quality of service provided. I appreciate the convenience of automatic bank transfers for payment. Overall, I have had no reason to consider churning and plan to continue using this service in the future.",9551
8259-NFJTV,Female,0,Yes,Yes,7,No,No phone service,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,34.65,246.6,No,"I have been a customer with this internet service provider for 7 months now and have been satisfied with the service so far. The monthly charges of $34.65 for DSL internet are reasonable and the internet connection has been reliable. I appreciate the flexibility of the month-to-month contract and the option to pay by mailed check. Overall, I have had a positive experience and would recommend this provider to others.",2588
6890-PFRQX,Male,0,No,No,18,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,69.5,1199.4,No,"I have been a customer with this DSL internet provider for 18 months now on a month-to-month contract. I have never experienced any issues with my service and have not had any reason to consider switching providers. The monthly charges of $69.5 are reasonable for the quality of service I receive. I appreciate being able to pay by mailed check as it is a convenient option for me. Overall, I am satisfied with my experience and have no complaints.",7977
3688-FTHLT,Female,0,No,No,16,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),63.05,1067.05,No,"I have been a customer with this company for 16 months now and I have been very satisfied with the service. The month-to-month contract and automatic bank transfer payment method make it easy for me to manage my account. The DSL internet service has been reliable and the monthly charges of $63.05 are reasonable. Overall, I have had no issues with the service and have no plans to churn. I would recommend this company to others looking for a reliable internet service provider.",7062
5465-BUBFA,Female,0,Yes,Yes,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.3,772.4,No,"I have been a customer with this company for over 3 years now and I have been very satisfied with their service. The automatic bank transfer payment method is convenient and hassle-free. Even though I do not have internet service with them, the monthly charges are very affordable at $19.3. I have had no issues with churn and overall, I am happy with my experience as a customer.",2742
9444-JTXHZ,Male,0,Yes,No,1,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,76.2,null,Yes,"I recently switched to this fiber optic internet service provider on a month-to-month contract and unfortunately, I have already decided to churn after just one month. The monthly charges of $76.2 seemed reasonable at first, but I have been experiencing frequent outages and slow speeds. Additionally, I found the process of making payments through electronic check to be cumbersome and inconvenient. Overall, I am not satisfied with the service and will be looking for a better internet provider.",5930
0178-CIIKR,Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.95,58.0,No,"I have been a customer with this company for 3 months now and I am overall satisfied with the service. The monthly charges of $19.95 are reasonable for the services provided. I appreciate the flexibility of having a month-to-month contract. However, I do wish there was an option for internet service as well. The payment method of mailing a check is a bit old-fashioned, but it hasn't been a major inconvenience for me. Overall, I have had a positive experience with this company and would recommend it to others.",746
4947-DSMXK,Male,0,Yes,Yes,34,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.7,3410.0,No,"I have been a loyal customer for over 2 and a half years and have been very satisfied with the fiber optic internet service provided by this company. The automatic bank transfer payment method is convenient and hassle-free. The monthly charges of $97.7 are fair for the quality of service I receive. I have had no issues with connectivity or speed, and I appreciate the flexibility of a month-to-month contract. Overall, I have had a positive experience and would recommend this company to others.",7742
5879-SESNB,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,75.25,888.65,No,"I have been a customer with this company for 11 months now and I am very satisfied with the service. The fiber optic internet is fast and reliable, and the monthly charges of $75.25 are reasonable for the quality of service I am receiving. I appreciate the convenience of paying with electronic check and have had no issues with billing or payments. Overall, I have no complaints and am happy to continue with this month-to-month contract.",8156
0463-WZZKO,Male,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.75,67.1,No,"I have been a customer with this company for 3 months now and so far I have had a positive experience. The monthly charges of $20.75 are reasonable and the automatic payment method with my credit card makes it convenient for me to pay my bill on time. Although I do not have internet service with this company, I have not experienced any issues with my current services. Overall, I am satisfied with the service and would recommend it to others.",4315
5649-ANRML,Male,1,No,No,2,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),95.1,180.25,Yes,"I recently canceled my service with this company after only 2 months of being a customer. While the fiber optic internet service was fast and reliable, I found the monthly charges of $95.1 to be too expensive for what I was receiving. The automatic credit card payments were convenient, but I ultimately decided to switch to a more affordable provider. I would recommend this company to others who are willing to pay a premium for high-quality internet service.",3349
2676-OXPPQ,Male,0,No,No,6,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.7,335.65,No,I have been a customer with this DSL internet service provider for the past 6 months on a month-to-month contract. The monthly charges of $55.7 are reasonable for the service provided. I appreciate the convenience of automatic bank transfers for payment. I have not experienced any issues with the service so far and am satisfied with the reliability and speed of my internet connection. I have no plans to switch providers at this time.,6304
4445-KWOKW,Female,0,No,No,42,Yes,Yes,DSL,Yes,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),60.15,2421.6,No,"I have been a customer with this DSL provider for 3 and a half years now and I have been very satisfied with the service. The automatic bank transfer payment method makes it convenient for me to pay my monthly bill on time. The monthly charges of $60.15 are reasonable for the internet service I receive. I have had no issues with the connection or service interruptions, so I have not felt the need to switch providers. Overall, I am happy with the service and would recommend it to others.",7656
1475-VWVDO,Male,0,No,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,74.9,490.55,No,"I have been a customer with this company for 7 months now and I am very satisfied with their service. The fiber optic internet is fast and reliable, and I have had no issues with connectivity. The monthly charges of $74.9 are reasonable for the quality of service I am receiving. I appreciate the convenience of being able to pay with an electronic check. Overall, I have had a positive experience with this company and would recommend them to others.",5586
6522-OIQSX,Female,0,Yes,Yes,69,no,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),54.95,3772.5,No,"I have been a loyal customer with this company for 69 months now and I have never experienced any issues with my internet service. The DSL connection has been reliable and the monthly charges of $54.95 are reasonable for the quality of service I am receiving. I appreciate the convenience of automatic credit card payments and have never had any issues with billing. Overall, I am very satisfied with my experience as a customer and have no plans to switch providers.",5872
5858-EAFCZ,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,44.45,44.45,No,"I have been a customer with this company for just over a month now, and so far I am quite satisfied with the service. The DSL internet is reliable and meets my needs, and the monthly charges of $44.45 are reasonable. I appreciate the option to pay by mailed check, as it is convenient for me. Overall, I have had no issues with the service and would recommend it to others.",6917
0480-BIXDE,Female,0,Yes,No,19,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.8,null,No,"I have been a customer with this fiber optic internet service provider for 19 months now and I have had a great experience so far. The internet connection is reliable and fast, and I have had no issues with downtime or slow speeds. The monthly charges of $96.8 are reasonable for the quality of service I am receiving. I appreciate being able to pay with electronic check, as it is convenient and easy to manage. Overall, I am satisfied with the service and have no plans to churn.",4352
6457-USBER,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.8,80.8,Yes,"I recently signed up for fiber optic internet service with this provider on a month-to-month contract. Unfortunately, after just one month of service, I decided to cancel due to the high monthly charges of $80.80. The payment method of electronic check was convenient, but I ultimately felt that the cost was not justified for the quality of service provided. I would recommend looking for a more affordable option for internet service.",742
9418-RUKPH,Female,0,Yes,Yes,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,756.4,No,"I have been a loyal customer with this company for 38 months now and I am pleased to say that I have not experienced any issues with their service. The monthly charges are very affordable at $19.95 and I appreciate the option to pay via mailed check. Even though I do not have internet service with them, I am satisfied with the overall customer experience. I would recommend this company to others.",8220
6766-HFKLA,Female,0,Yes,No,56,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),103.2,5744.35,No,"""I have been a customer with this company for over 4 and a half years now and I have been extremely satisfied with the service. The fiber optic internet is fast and reliable, and the automatic bank transfer payment method makes it convenient for me to pay my bill each month. The monthly charges are reasonable for the quality of service provided. Overall, I have had a great experience and have no intentions of churning anytime soon.""",9597
1329-VHWNP,Female,0,No,No,7,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),25.05,189.95,No,"I have been with this DSL internet service provider for 7 months now on a month-to-month contract. I am pleased to say that I have had no issues with churn and the service has been reliable. The monthly charges of $25.05 are affordable and the automatic bank transfer payment method is convenient. Overall, I am satisfied with the service and would recommend it to others looking for a budget-friendly internet option.",7456
2332-EFBJY,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.7,342.4,Yes,"I recently cancelled my service with this company after being a customer for 16 months. I was on a month-to-month contract with monthly charges of $19.70. Unfortunately, I did not have internet service with this provider. I paid my bills through mailed checks. Overall, I was satisfied with the service during my time as a customer, but ultimately decided to switch to a different provider for internet services.",8704
7131-ZQZNK,Female,0,Yes,Yes,60,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),59.85,3590.2,No,"I have been a customer with this internet provider for 5 years now and I have been very satisfied with the service. The DSL internet is reliable and I have not experienced any outages. The monthly charges are reasonable at $59.85 and I appreciate the convenience of automatic credit card payments. Overall, I have no complaints and would recommend this provider to others.",6927
8541-QVFKM,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.5,632.2,No,"I have been a customer with this company for 8 months now, and I am extremely satisfied with their service. The fiber optic internet is fast and reliable, and I have had no issues with connectivity. The monthly charges of $73.5 are reasonable for the quality of service I receive. I appreciate the convenience of paying with electronic check. Overall, I have no complaints and would highly recommend this company to others.",9492
2176-LVPNX,Female,1,No,No,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,89.85,6293.45,No,"I have been a customer with this company for over 6 years now and have been satisfied with the service overall. The DSL internet service has been reliable and the monthly charges of $89.85 are reasonable for the quality of service provided. I prefer to pay by mailed check and have never had any issues with billing or payments. Overall, I have no complaints and have no plans to switch providers in the near future.",2638
7395-IGJOS,Male,1,Yes,No,17,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),81.5,1329.2,Yes,"I have been a customer with this company for 17 months now, and I have been using their fiber optic internet service with a monthly charge of $81.50 on a month-to-month contract. I recently decided to churn as I found a better deal with another provider. Overall, the service was reliable and the automatic bank transfer payment method was convenient. However, I felt that the monthly charges were a bit high compared to other options available in the market. I would recommend this company to others who are looking for a reliable internet service, but I would also suggest comparing prices with other providers to ensure you are getting the best deal.",8883
4424-TKOPW,Male,1,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.85,196.75,Yes,"I recently switched to this fiber optic internet service provider two months ago, but unfortunately, I have already decided to cancel my service. The monthly charges of $93.85 were reasonable for the fast and reliable internet connection I received. However, I experienced frequent outages and slow speeds, which greatly impacted my ability to work from home effectively. Additionally, the payment method of electronic check was convenient, but I found the customer service to be lacking in resolving my issues in a timely manner. Overall, I was disappointed with the service and decided to switch to a different provider.",1874
